school_name,type_of_school,adress,BIN,date_of_start_(MM_YY),longitude,latitude
Комфортная средняя школа №109 акимата г. Астаны,Школы,"Улица Е 669, 6, Астана",241240018070.0,12.24,71.46734,51.087338
Комфортная средняя школа №112,Школы,"Улица А 102, 39, Астана",241240018239.0,12.24,71.564985,51.127429
Комфортная средняя школа №116,Школы,"Мукан Тулебаев улица, 3, Астана",250440020277.0,4.25,71.505167,51.140372
Комфортная средняя школа №118,Школы,Астана,250740015033.0,7.25,71.443088,51.129557
Комфортная средняя школа №33,Школы,"Улица Амире Кашаубаев, 28а, Астана",241240036495.0,12.24,71.243471,51.117208
Комфортная школа №108,Школы,"Е 117 улица, 40а, Астана",240940002156.0,9.24,71.495803,51.079135
Комфортная школа №113,Школы,"Улица Шамши Калдаяков, 38, Астана",250240022345.0,2.25,71.505396,51.110214
Комфортная школа №45,Школы,"Улица Толе би, 25/2, Астана",1040001735.0,10.0,71.385472,51.097847
Международная школа № 81 Astana English School,Гимназии,"Улица Илияс Омаров, 14, Астана",150840022316.0,8.15,71.372586,51.140481
Мирас,Международная частная школа,"Улица Куйши Дина, 34, Астана",990741004909.0,7.99,71.48621,51.151279
Назарбаев Интеллектуальная школа IB,Школы,"Улица Хусейн бен Талал, 19, Астана",90641002019.0,6.09,71.393118,51.085517
Назарбаев Интеллектуальная школа Естественно-Математического Направления г. Астана,Школы,"Улица Хусейн бен Талал, 21, Астана",90341013826.0,3.09,71.396697,51.084994
Общеобразовательная школа №110 акимата г. Астаны,Школы,"Улица Е 17, 4, Астана",250340002611.0,3.25,71.362593,51.123067
Общеобразовательная школа №114,Школы,"Илияса Жансугурова улица, 1, Астана",250440021196.0,4.25,71.480283,51.161554
Общеобразовательная школа №117 акимата г. Астаны,Школы,"Улица Е-899, 8, Астана",250440017782.0,4.25,71.391314,51.136208
Общеобразовательная школа №16 им. Т. Айбергенова,Школы,"Улица Кенесары, 81, Астана",970640000785.0,6.97,71.457174,51.166493
Почемучка,Детский сад-школа,"Улица Ыкылас Дукенулы, 18, Астана",951040001057.0,10.95,71.426478,51.179148
Республиканская физико-математическая школа,Филиал НАО,"Улица Туркестан, 2/1, Астана",160741021163.0,7.16,71.431575,51.118957
Специальная школа №2,Специальные школы,"Алиби Жангельдина улица, 9, Астана",720740000024.0,7.72,71.416856,51.173884
Специальная школа №3,Специальные школы,"Улица Сакена Сейфуллина, 67а, Астана",200540024581.0,5.2,71.456745,51.171829
Специальная школа-интернат №1,Специальные школы,"Улица Болашак, 29/3, Астана",170940016081.0,9.17,71.324079,51.180248
Средняя школа № 12,Акимат г. Астаны,"Улица Камысты, 7, Астана",660640000027.0,6.66,71.454798,51.199356
Средняя школа №101,Школы,"Улица Толе би, 57а, Астана",240640030021.0,6.24,71.394893,51.130007
Средняя школа №111,Школы,"Улица Толе би, 32, Астана",240740001854.0,7.24,71.394292,51.112341
Средняя школа №119,Школы,Астана,250440018443.0,4.25,71.443088,51.129557
Средняя школа №13,Школы,"Улица Шалкоде, 5, Астана",820940000022.0,9.82,71.519541,51.123373
Средняя школа №18,Школы,"Проспект Богенбай батыра, 17, Астана",810840000017.0,8.81,71.399876,51.176228
Средняя школа №19,Школы,"Улица Шангерей Бокеев, 50, Астана",650540000021.0,5.65,71.370152,51.196904
Средняя школа №20 им. Шакена Айманова,Школы,"Улица Карталы, 62, Астана",600140000028.0,1.6,71.379631,51.191767
Средняя школа №21,Школы,"Улица Кошке Кеменгерулы, 4, Астана",890940000025.0,9.89,71.398243,51.204205
Средняя школа №24 им. Жусупбека Аймаутова,Школы,"Улица Арнасай, 127, Астана",710940000057.0,9.71,71.428969,51.042199
Средняя школа №25,Школы,"Улица Карасай батыра, 10, Астана",650540000011.0,5.65,71.396955,51.19777
Средняя школа №29,Школы,"Улица Максима Горького, 22, Астана",840940000026.0,9.84,71.579102,51.146898
